id_prkapita,id_kab_kota,pengeluaran_2010,pengeluaran_2011,pengeluaran_2012,pengeluaran_2013,pengeluaran_2014,pengeluaran_2015,pengeluaran_2016,pengeluaran_2017,pengeluaran_2018,pengeluaran_2019,pengeluaran_2020,pengeluaran_2021,pengeluaran_2022,pengeluaran_2023,pengeluaran_2024
PRKAPITA252,252,10491,10926,11360,11480,11514,11548,11961,12375,12845,13295,13246,13280,13384,13870,14356
PRKAPITA253,253,6709,7006,7316,7434,7459,7667,8030,8192,8393,8718,8610,8673,8971,9438,9841
PRKAPITA254,254,6952,7337,7692,7769,7798,7827,8096,8352,8569,8760,8739,8790,8944,9363,9782
PRKAPITA255,255,6532,6922,7260,7445,7478,7679,7975,8311,8536,8834,8739,8804,8967,9420,9811
PRKAPITA256,256,5746,6524,6834,7093,7143,7577,7846,8316,8722,9082,8888,9000,9388,9807,10156
PRKAPITA257,257,9765,10098,10432,10670,10702,10733,11070,11550,11976,12440,12239,12359,12762,13276,13670
PRKAPITA258,258,10756,11071,11534,11641,11672,12258,12499,12910,13391,13851,13733,13816,14058,14548,14933
PRKAPITA259,259,14754,15015,15287,15378,15399,15420,15732,15939,16158,16666,16593,16663,16897,17222,17791
PRKAPITA260,260,8894,9387,9864,10089,10182,10558,10792,11390,11796,12280,12180,12245,12571,12999,13405
PRKAPITA261,261,10237,10705,11184,11484,11527,11963,12295,12557,12931,13393,13281,13354,13803,14250,14664
PRKAPITA262,262,10371,10762,11191,11625,11689,12060,12449,12804,13155,13710,13499,13610,14054,14422,14842
PRKAPITA263,263,13455,13799,14317,14604,14643,14723,15300,15415,15616,16040,16018,16095,16503,17115,17518
PRKAPITA264,264,14473,14777,15104,15488,15492,15991,16295,16726,17157,17854,17755,17862,18345,18977,19666
PRKAPITA265,265,9395,9980,10667,10803,10853,11274,11772,12057,12466,12870,12824,12887,13094,13603,14253
PRKAPITA266,266,7335,7395,7426,7486,7589,7730,8138,8358,8613,8719,8572,8635,8827,9151,9574
PRKAPITA267,267,7779,7819,7859,7918,7977,8111,8308,8372,8634,8850,8690,8724,8854,9130,9631
PRKAPITA268,268,11622,11631,11640,11648,11666,11727,11863,11914,12179,12476,12203,12273,12427,12749,13254
PRKAPITA269,269,9668,9722,9777,9831,9886,10004,10317,10466,10693,10802,10665,10713,10916,11320,11767
PRKAPITA270,270,13485,13500,13515,13531,13671,13766,13911,14104,14443,14860,14484,14575,14909,15377,15641
PRKAPITA271,271,11716,11784,11852,11920,12057,12127,12326,12562,12900,13230,13010,13041,13185,13663,14294
PRKAPITA272,272,11788,11834,11880,11950,12091,12289,12660,12914,13261,13418,13212,13281,13709,14088,14603
PRKAPITA274,274,10293,10499,10676,10890,10944,11168,11343,11468,11666,11902,11790,11675,11915,12236,12638
PRKAPITA275,275,12831,13056,13266,13438,13492,13665,13800,13923,14245,14608,14494,14326,14475,14832,15297
PRKAPITA276,276,15243,15508,15795,16025,16080,16409,16567,17063,17325,17628,17503,17327,17445,17915,18556
PRKAPITA277,277,12640,12761,13031,13318,13382,13578,13766,14222,14376,14623,14544,14391,14630,15047,15577
PRKAPITA278,278,10006,10129,10358,10488,10501,10711,10852,11005,11318,11484,11376,11287,11500,11760,12358
PRKAPITA279,279,9797,10113,10341,10424,10469,10649,10819,10956,11160,11369,11268,11201,11424,11670,12148
PRKAPITA280,280,8822,9058,9128,9341,9402,9556,9690,9833,10050,10302,10237,10175,10278,10753,11176
PRKAPITA281,281,11451,11693,11946,12187,12249,12587,12814,12995,13235,13780,13463,13362,13529,13987,14377
PRKAPITA282,282,17675,17944,18227,18532,18605,18849,19084,19364,19698,19992,19723,19598,19850,20128,20763
PRKAPITA283,283,10010,10029,10250,10450,10470,10588,10924,11048,11367,11647,11304,11334,11754,11960,12431
PRKAPITA284,284,8464,8530,8567,8605,8652,8846,9079,9319,9796,10196,9952,9962,10470,10948,11531
PRKAPITA285,285,7575,7580,7652,7685,7750,8100,8449,8805,9268,9639,9409,9450,9631,10152,10571
PRKAPITA286,286,7138,7177,7299,7422,7519,7743,8070,8584,9028,9336,9146,9167,9598,9981,10349
PRKAPITA287,287,7102,7106,7169,7204,7239,7479,7819,8351,8743,9027,8889,8899,9203,9404,9971
PRKAPITA288,288,7144,7157,7171,7184,7198,7371,7585,8006,8354,8631,8468,8495,8699,8963,9418
PRKAPITA289,289,9677,9744,9815,9886,9922,10234,10528,11066,11496,11766,11536,11548,11987,12214,12841
PRKAPITA290,290,7083,7169,7304,7358,7594,7940,8155,8637,8888,9279,9006,9057,9433,9785,10272
PRKAPITA291,291,11800,12053,12380,12748,13021,13399,13733,14316,14797,15426,14968,14999,15416,15894,16514
PRKAPITA292,292,8959,9038,9142,9270,9352,9594,9930,10458,10825,11334,11105,11135,11395,11740,12362
PRKAPITA293,293,6174,6358,6478,6672,6714,6776,6914,6997,7275,7586,7321,7307,7627,7993,8243
PRKAPITA294,294,8128,8350,8510,8744,8808,8883,9004,9093,9351,9640,9406,9354,9641,10008,10280
PRKAPITA295,295,6426,6550,6675,6875,6945,7085,7217,7301,7472,7698,7526,7476,7776,8220,8508
PRKAPITA296,296,5676,5760,5846,6005,6061,6118,6360,6676,6855,6955,6861,6839,7118,7450,7755
PRKAPITA297,297,5237,5385,5468,5626,5679,5799,5930,6164,6357,6479,6364,6324,6559,6889,7242
PRKAPITA298,298,6527,6647,6770,6967,7025,7083,7199,7251,7403,7677,7479,7431,7593,7907,8159
PRKAPITA299,299,5788,5951,6168,6223,6284,6346,6468,6553,6750,6958,6786,6751,7198,7565,7806
PRKAPITA300,300,6370,6485,6602,6794,6857,6888,7010,7084,7253,7474,7305,7257,7622,7962,8238
PRKAPITA301,301,6717,6802,6888,7048,7099,7150,7237,7442,7573,7770,7631,7578,7918,8223,8505
PRKAPITA302,302,7028,7203,7314,7500,7559,7618,7740,7855,7958,8313,8081,8021,8362,8678,9019
PRKAPITA303,303,8068,8227,8322,8491,8551,8679,8801,8841,8995,9315,9094,9027,9413,9739,10009
PRKAPITA304,304,7536,7613,7770,8002,8070,8085,8195,8649,8857,8961,8865,8819,8997,9350,9585
PRKAPITA305,305,6206,6390,6511,6706,6790,6875,7008,7056,7175,7276,7203,7133,7580,7903,8204
PRKAPITA306,306,5446,5497,5612,5800,5873,5946,6110,6320,6484,6720,6539,6503,6719,7061,7365
PRKAPITA307,307,6441,6599,6694,6862,6937,7012,7149,7269,7426,7602,7468,7410,7636,7913,8195
PRKAPITA308,308,5491,5554,5617,5755,5788,5821,5907,5946,6093,6198,6108,6061,6288,6484,6743
PRKAPITA309,309,5538,5580,5667,5828,5880,5933,6079,6134,6298,6594,6372,6355,6779,7080,7358
PRKAPITA310,310,7362,7536,7645,7830,7868,7906,8054,8119,8219,8469,8309,8254,8433,8706,8986
PRKAPITA311,311,4767,4920,5008,5170,5208,5246,5396,5643,5809,5919,5818,5780,6145,6276,6561
PRKAPITA314,314,12208,12339,12470,12676,12766,12856,12986,13028,13199,13592,13337,13218,13513,13762,14001
PRKAPITA315,315,7858,8242,8673,9083,9153,9195,9311,9403,9774,9924,9858,9828,10462,11057,11538
PRKAPITA316,316,7351,7634,7956,8249,8363,8489,8588,8640,9072,9182,9102,9193,9484,9859,10208
PRKAPITA317,317,5936,6053,6201,6272,6417,6670,6737,6931,7183,7403,7357,7431,7969,8423,8868
PRKAPITA318,318,6611,6722,6863,6962,7063,7238,7270,7358,7779,7913,7801,7758,8049,8690,9163
PRKAPITA319,319,7183,7241,7326,7368,7411,7622,7729,7828,8126,8410,8245,8328,8782,9213,9728
PRKAPITA320,320,8107,8120,8133,8146,8159,8350,8430,8475,8988,9259,9163,9209,9426,9984,10472
