id_ipm,id_kab_kota,NAMA_KAB_KOTA,PROVINSI,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
IPM001,1,Simeulue,Aceh,"60,6","61,03","61,25","61,68","62,18","63,16","63,82","64,41","64,74","65,7","66,03","66,41","67,27","68,06","69,01"
IPM002,2,Aceh Singkil,Aceh,"62,36","63,13","64,23","64,87","65,27","66,05","66,96","67,37","68,02","68,91","68,94","69,22","69,62","70,14","70,75"
IPM003,3,Aceh Selatan,Aceh,"61,22","61,52","61,69","62,27","62,35","63,28","64,13","65,03","65,92","66,9","67,12","67,44","67,87","68,44","69,1"
IPM004,4,Aceh Tenggara,Aceh,"63,82","64,27","64,99","65,55","65,9","66,77","67,48","68,09","68,67","69,36","69,37","69,44","70,32","71,05","71,7"
IPM005,5,Aceh Timur,Aceh,"61,75","62,35","62,93","63,27","63,57","64,55","65,42","66,32","66,82","67,39","67,63","67,83","68,72","69,32","69,87"
IPM006,6,Aceh Tengah,Aceh,"69,17",70,"70,18","70,51","70,96","71,51","72,04","72,19","72,64","73,14","73,24","73,37","73,95","74,6","75,41"
IPM007,7,Aceh Barat,Aceh,"66,05","66,47","66,66","66,86","67,31","68,41","69,26","70,2","70,47","71,22","71,38","71,67","72,34","72,88","73,69"
IPM008,8,Aceh Besar,Aceh,"69,76","69,94","70,1","70,61","71,06","71,7","71,75",72,"72,73","73,55","73,56","73,58",74,"74,53","75,13"
IPM009,9,Pidie,Aceh,"66,75","66,95","67,3","67,59","67,87","68,68","69,06","69,52","69,93","70,41","70,63","70,7","71,2","71,66","72,31"
IPM010,10,Bireuen,Aceh,"66,42","67,03","67,57","68,23","68,71","69,77","70,21","71,11","71,37","72,27","72,28","72,33","73,16","73,63","74,45"
IPM011,11,Aceh Utara,Aceh,"63,56","64,22","64,82","65,36","65,93","66,85","67,19","67,67","68,36","69,22","69,33","69,46","70,22","70,87","71,7"
IPM012,12,Aceh Barat Daya,Aceh,"60,91","61,75","62,15","62,62","63,08","63,77","64,57","65,09","65,67","66,56","66,75","66,99","67,41","68,07","68,75"
IPM013,13,Gayo Lues,Aceh,"60,93","61,91","62,85","63,22","63,34","63,67","64,26","65,01","65,88","66,87","67,22","67,56","68,25","68,93","69,83"
IPM014,14,Aceh Tamiang,Aceh,"64,67","64,89","65,21","65,56","66,09","67,03","67,41","67,99","68,45","69,23","69,24","69,48","70,43","71,35","72,32"
IPM015,15,Nagan Raya,Aceh,"63,57","64,24","64,91","65,23","65,58","66,73","67,32","67,78","68,15","69,11","69,18","69,31","70,1","70,78","71,72"
IPM016,16,Aceh Jaya,Aceh,"64,75","65,17","66,42","66,92","67,3","67,53","67,7","68,07","68,83","69,74","69,75","69,84","70,36","70,88","71,83"
IPM017,17,Bener Meriah,Aceh,"67,29","68,24","69,14","69,74",70,"70,62","71,42","71,89","72,14","72,97","72,98","73,27","73,9","74,49","75,01"
IPM018,18,Pidie Jaya,Aceh,"68,38","68,69","68,9","69,26","69,89","70,49","71,13","71,73","72,12","72,87","73,2","73,6","74,34","74,8","75,16"
IPM019,19,Kota Banda Aceh,Aceh,"80,36","80,87","81,3","81,84","82,22","83,25","83,73","83,95","84,37","85,07","85,41","85,71","86,28","86,69","87,17"
IPM020,20,Kota Sabang,Aceh,"69,7","70,15","70,84","71,07","71,5","72,51","73,36","74,1","74,82","75,77","75,78","76,11","76,85","77,52","78,32"
IPM021,21,Kota Langsa,Aceh,"71,79","72,15","72,75","73,4","73,81","74,74","75,41","75,89","76,34","77,16","77,17","77,44","77,82","78,36","78,81"
IPM022,22,Kota Lhokseumawe,Aceh,"71,55","72,35","73,55","74,13","74,44","75,11","75,78","76,34","76,62","77,3","77,31","77,57","78,04","78,92","79,55"
IPM023,23,Kota Subulussalam,Aceh,"58,97","59,34","59,76","60,11","60,39","61,32","62,18","62,88","63,48","64,46","64,93","65,27","66,2","67,1","68,04"
IPM024,24,Nias,Sumatera Utara,"54,72","55,55","56,5","57,43","57,98","58,85","59,75","60,21","60,82","61,65","61,93","62,74","63,69","64,56","65,55"
IPM025,25,Mandailing Natal,Sumatera Utara,"60,76","61,6","62,26","62,91","63,42","63,99","64,55","65,13","65,83","66,52","66,79","67,19","68,05","68,56","69,33"
IPM026,26,Tapanuli Selatan,Sumatera Utara,"64,2","65,14","65,95","66,75","67,22","67,63","68,04","68,69","69,1","69,75","70,12","70,33","70,92","71,55","72,14"
IPM027,27,Tapanuli Tengah,Sumatera Utara,"64,39","65,16","65,43","65,64","66,16","67,06","67,27","67,96","68,27","68,86","69,23","69,61","70,31","70,91","71,52"
IPM028,28,Tapanuli Utara,Sumatera Utara,"68,43","69,24","69,83","70,5","70,7","71,32","71,96","72,38","72,91","73,33","73,47","73,76","74,14","74,65","75,23"
IPM029,29,Toba Samosir / Toba,Sumatera Utara,"70,9","71,39","71,89","72,36","72,79","73,4","73,61","73,87","74,48","74,92","75,16","75,39","75,96","76,38","76,91"
IPM030,30,Labuhan Batu,Sumatera Utara,"66,88","67,88","68,64","69,45","70,06","70,23","70,5",71,"71,39","71,94","72,01","72,09","72,92","73,69","74,18"
IPM031,31,Asahan,Sumatera Utara,"65,06","65,87","66,23","66,58","67,51","68,4","68,71","69,1","69,49","69,92","70,29","70,49","71,13","71,56","72,09"
IPM032,32,Simalungun,Sumatera Utara,"68,8","69,03","69,79","70,28","70,89","71,24","71,48","71,83","72,49","72,98","73,25","73,4","73,77","74,29","74,97"
IPM033,33,Dairi,Sumatera Utara,"65,91","66,62","66,95","67,15","67,91",69,"69,61","70,36","70,89","71,42","71,57","71,84","72,56","73,27","73,92"
IPM034,34,Karo,Sumatera Utara,"70,36","71,12","71,4","71,62","71,84","72,69","73,29","73,53","73,91","74,25","74,43","74,83","75,36","75,98","76,55"
IPM035,35,Deli Serdang,Sumatera Utara,"70,06","70,25","70,88","71,39","71,98","72,79","73,51","73,94","74,92","75,43","75,44","75,53","76,19","76,52","76,92"
IPM036,36,Langkat,Sumatera Utara,"64,57","65,77","66,18","67,17",68,"68,53","69,13","69,82","70,27","70,76",71,"71,35","71,86","72,21","72,73"
IPM037,37,Nias Selatan,Sumatera Utara,"54,54","55,5","55,97","56,78","57,78","58,74","59,14","59,85","60,75","61,59","61,89","62,35","63,17","64,12","65,02"
IPM038,38,Humbang Hasundutan,Sumatera Utara,"63,4","64,06","64,54","64,92","65,59","66,03","66,56","67,3","67,96","68,83","68,87","69,41","70,32","70,75","71,59"
IPM039,39,Pakpak Bharat,Sumatera Utara,"61,76","63,11","63,88","64,73","65,06","65,53","65,81","66,25","66,63","67,47","67,59","67,94","68,85","69,58","70,36"
IPM040,40,Samosir,Sumatera Utara,"65,14","65,81","66,31","66,8","67,8","68,43","68,82","69,43","69,99","70,55","70,63","70,83","71,67","72,08","72,88"
IPM041,41,Serdang Bedagai,Sumatera Utara,"64,67","65,28","66,14","67,11","67,78","68,01","68,77","69,16","69,69","70,21","70,24","70,56","71,21","71,75","72,47"
IPM042,42,Batu Bara,Sumatera Utara,"63,45","63,95","64,45","65,06","65,5","66,02","66,69","67,2","67,67","68,35","68,36","68,58","69,51","70,31","70,83"
IPM043,43,Padang Lawas Utara,Sumatera Utara,"64,25","65,22","65,65","66,13","66,5","67,35","68,05","68,34","68,77","69,29","69,85","70,11","70,93","71,63","72,32"
IPM044,44,Padang Lawas,Sumatera Utara,"62,45","63,28","64,05","64,62","65,5","65,99","66,23","66,82","67,59","68,16","68,25","68,64","69,58","70,34","71,27"
IPM045,45,Labuhan Batu Selatan,Sumatera Utara,"65,32","65,77","67,06","67,78","68,59","69,67","70,28","70,48","70,98","71,39","71,4","71,69","72,16","72,82","73,67"
IPM046,46,Labuhan Batu Utara,Sumatera Utara,"66,72","67,37","67,84","68,28","69,15","69,69","70,26","70,79","71,08","71,43","71,61","71,87","72,77","73,63","74,4"
IPM047,47,Nias Utara,Sumatera Utara,-,"57,53","57,87","58,29","59,18","59,88","60,23","60,57","61,08","61,98","62,36","62,82","63,75","64,64","65,62"
IPM048,48,Nias Barat,Sumatera Utara,-,"55,43","56,2","56,58","57,54","58,25","59,03","59,56","60,42","61,14","61,51","61,99","62,93","63,7","64,67"
IPM049,49,Kota Sibolga,Sumatera Utara,"68,37","69,17","69,71","70,45","71,01","71,64",72,"72,28","72,65","73,41","73,63","73,94","74,74","75,2","75,66"
IPM050,50,Kota Tanjung Balai,Sumatera Utara,"63,47","64,13","64,89","65,4","66,05","66,74","67,09","67,41",68,"68,51","68,65","68,94","69,86","70,59","71,1"
IPM051,51,Kota Pematang Siantar,Sumatera Utara,"72,52","73,61","74,51","75,05","75,83","76,34","76,9","77,54","77,88","78,57","78,75","79,17","79,7","80,46","81,17"
IPM052,52,Kota Tebing Tinggi,Sumatera Utara,"69,96","70,84","71,34","71,85","72,13","72,81","73,58","73,9","74,5","75,08","75,17","75,42","76,17","76,98","77,45"
IPM053,53,Kota Medan,Sumatera Utara,"77,02","77,54","77,78",78,"78,26","78,87","79,34","79,98","80,65","80,97","80,98","81,21","81,76","82,19","82,76"
IPM054,54,Kota Binjai,Sumatera Utara,"70,54","70,85","71,54","72,02","72,55","73,81","74,11","74,65","75,21","75,89","75,89","76,01","76,95","77,6","78,1"
IPM055,55,Kota Padangsidimpuan,Sumatera Utara,"70,23","71,08","71,38","71,68","71,88","72,8","73,42","73,81","74,38","75,06","75,22","75,48","76,05","76,44","76,96"
IPM056,56,Kota Gunungsitoli,Sumatera Utara,-,"63,71","64,34","65,25","65,91","66,41","66,85","67,68","68,33","69,3","69,31","69,61","70,23","70,68","71,41"
IPM057,57,Kepulauan Mentawai,Sumatera Barat,"55,66","55,9","56,1","56,33","56,73","57,41","58,27","59,25","60,28","61,26","61,09","61,35","62,19","63,13","63,99"
IPM058,58,Pesisir Selatan,Sumatera Barat,"65,09","65,8","66,49","67,31","67,75","68,07","68,39","68,74","69,4","70,08","69,9","70,03","70,84","71,44","72,02"
IPM059,59,Solok,Sumatera Barat,"64,53","65,28","65,62","66,15","66,44","67,12","67,67","67,86","68,6","69,08","69,08","69,24","70,02","70,63","71,02"
IPM060,60,Sijunjung,Sumatera Barat,"62,51","62,92","63,7","64,48","64,95","65,3","66,01","66,6","66,97","67,66","67,74","67,86","68,69","69,65","70,23"
IPM061,61,Tanah Datar,Sumatera Barat,"66,47","66,92","67,29","68,12","68,51","69,49","70,11","70,37","71,25","72,14","72,33","72,46","73,29","73,98","74,9"
IPM062,62,Padang Pariaman,Sumatera Barat,"65,16","65,89","66,2","67,15","67,56","68,04","68,44","68,9","69,71","70,59","70,61","70,76","71,63","72,61","73,1"
IPM063,63,Agam,Sumatera Barat,"66,12","66,94","67,95","68,73","69,32","69,84","70,36","71,1","71,7","72,37","72,46","72,57","73,29","73,98","74,66"
IPM064,64,Lima Puluh Kota,Sumatera Barat,"64,64","65,2","65,87","66,3","66,78","67,65","68,37","68,69","69,17","69,67","69,47","69,68","70,28","70,7","71,14"
IPM065,65,Pasaman,Sumatera Barat,"60,88","61,57","62,26","62,91","63,33","64,01","64,57","64,94","65,6","66,46","66,64","66,77","67,41","68,13","68,89"
